"player_name","team_name","games","total_fg3_att","total_fg3_made","observed_pct","estimated_talent_pure","shrinkage"
"Ilse de Vries","Miami OH",28,124,48,0.387096774193548,0.338537321789326,0.0485594524042225
"Macy Spencer","High Point",28,219,79,0.360730593607306,0.338208390561063,0.0225222030462432
"Janessa Kelley","Bethune",22,72,28,0.388888888888889,0.337953719817083,0.0509351690718054
"Delanie Hill","UAlbany",29,155,58,0.374193548387097,0.337894626510656,0.0362989218764403
"Riley Makalusky","West Virginia",27,79,34,0.430379746835443,0.337892582538369,0.0924871642970737
"Alana Nelson","Purdue FW",30,166,62,0.373493975903614,0.337843775224192,0.0356502006794227
"Jaylia Reed","Southern",27,142,49,0.345070422535211,0.33776215863471,0.00730826390050143
"Addi Brownfield","W Illinois",27,111,44,0.396396396396396,0.337509149566551,0.0588872468298458
"Olivia Kulyk","NJIT",29,195,72,0.369230769230769,0.337372835903356,0.0318579333274135
"Jayda Mosley","C Michigan",21,89,36,0.404494382022472,0.337225688574009,0.0672686934484626
"Erin Houpt","Boston College",29,104,42,0.403846153846154,0.337192492486148,0.0666536613600055
"Elina Aarnisalo","North Carolina",26,83,35,0.421686746987952,0.337159900694632,0.0845268462933196
"Elli Guiney","Pepperdine",28,141,54,0.382978723404255,0.337121670346481,0.0458570530577739
"Moriah Murray","Penn State",28,191,76,0.397905759162304,0.337043183124307,0.0608625760379965
"Jacei Denley","Lamar",23,67,28,0.417910447761194,0.337012255893767,0.0808981918674268
"Grace Knutson","Drake",27,87,35,0.402298850574713,0.336941183145097,0.0653576674296159
"Ava Locklear","NJIT",24,63,27,0.428571428571429,0.336754225135016,0.0918172034364127
"Briana Rivera","Samford",30,257,91,0.35408560311284,0.336679012109682,0.0174065910031583
"Abby Graham","N Dakota St",22,58,26,0.448275862068966,0.336385809464825,0.11189005260414
"Madison Fitzgibbon","Milwaukee",29,99,39,0.393939393939394,0.336278713622684,0.0576606803167096
"Mya Hansen","Boise St",27,81,33,0.407407407407407,0.336269614029534,0.071137793377873
"Lina Falk","Pepperdine",26,98,39,0.397959183673469,0.336058875797051,0.0619003078764183
"Asta Blauenfeldt","Maine",30,156,58,0.371794871794872,0.336020781681866,0.0357740901130061
